Plot,spp. code,Family,Species,Tag,DATE,LEAF_FALL,SPROUTING,BU,FL,IM-FR,M-FR,NI/NF,Notes
87,70,Rutaceae,Zanthoxylum petiolare A.St.-Hil. & Tul.,2020,01/01/22,,1,,,,,,
87,28,Myrtaceae,Eugenia florida DC.,2031,01/01/22,,,,,,,1,
87,39,Fabaceae,Andira fraxinifolia Benth.,2034,01/01/22,,1,,,,,,
87,28,Myrtaceae,Eugenia florida DC.,2035,01/01/22,,,,,,,1,
87,38,Fabaceae,Machaerium nyctitans (Vell.) Benth.,2036,01/01/22,,,,,,,1,
87,57,Myrtaceae,Myrcia tomentosa (Aubl.) DC.,2039,01/01/22,,1,,,,,,
87,62,Myrtaceae,Myrtaceae spp.,2041,01/01/22,,1,,,,,,
87,56,Anacardiaceae,Tapirira guianensis Aubl.,2043,01/01/22,,,,,,,1,
87,56,Anacardiaceae,Tapirira guianensis Aubl.,2044,01/01/22,,1,,,,,,
87,21,Sapotaceae,Chrysophyllum marginatum (Hook. & Arn.) Radlk.,2046,01/01/22,,1,,,,,,
87,56,Anacardiaceae,Tapirira guianensis Aubl.,2048,01/01/22,,,,,,,1,
87,38,Fabaceae,Machaerium nyctitans (Vell.) Benth.,2049,01/01/22,,,,,,,1,
87,26,Salicaceae,Casearia decandra Jacq.,2050,01/01/22,,1,,,,,,
87,88,Rutaceae,Zanthoxylum petiolare A.St.-Hil. & Tul.,2051,01/01/22,,1,,,,,,
87,39,Fabaceae,Andira fraxinifolia Benth.,2054,01/01/22,,,,,,,1,
87,54,Asteraceae,Moquiniastrum polymorphum (Less.) G. Sancho,2055,01/01/22,,,,1,,,,
87,32,Malvaceae,Guazuma ulmifolia Lam.,2060,01/01/22,,,1,,,,,
87,44,Verbenaceae,Citharexylum myrianthum Cham.,2061,01/01/22,,,,,1,,,
87,38,Fabaceae,Machaerium nyctitans (Vell.) Benth.,2062,01/01/22,,1,,,,,,
87,20,Fabaceae,Machaerium hirtum (Vell.) Stellfeld,2065,01/01/22,,1,,,,,,
87,2,Meliaceae,Guarea macrophylla Vahl,2069,01/01/22,,1,,,,,,
87,28,Myrtaceae,Eugenia florida DC.,2070,01/01/22,,,,,,,1,
87,27,Fabaceae,Copaifera langsdorffii Desf.,2071,01/01/22,,1,,,,,,
87,1,Meliaceae,Trichilia pallida Sw.,2072,01/01/22,,1,,,,,,
87,28,Myrtaceae,Eugenia florida DC.,2089,01/01/22,,1,,,,,,
87,36,Moraceae,Maclura tinctoria (L.) D.Don ex Steud.,2090,01/01/22,,1,,,,,,
87,68,Malvaceae,Luehea grandiflora Mart. & Zucc.,2091,01/01/22,,1,,,,,,
87,39,Fabaceae,Andira fraxinifolia Benth.,2092,01/01/22,,,,,,,1,
87,44,Verbenaceae,Citharexylum myrianthum Cham.,2093,01/01/22,,1,,,,,,
87,39,Fabaceae,Andira fraxinifolia Benth.,2094,01/01/22,,1,,,,,,
87,21,Sapotaceae,Chrysophyllum marginatum (Hook. & Arn.) Radlk.,2096,01/01/22,,,,,,,1,
